request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 on 2025-08-03. The projected balance stays above the IDR 24768300 minimum.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 on 2026-07-05. The projected balance stays above the ZAR 20500 minimum.
request_28,719.4,not_affordable,not_recommended,none,,reduce_to:event_2483:0,Do not make this payment within the forecast. No available plan keeps the EUR 1100 minimum protected.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 on 2025-11-04. The projected balance stays above the ZAR 28300 minimum.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Pay USD 775.2 on 2026-04-06. The projected balance stays above the USD 900 minimum.
request_31,14655780.06,affordable_later,wait,2024-11-15:18164000,2024-11-15,reduce_to:event_2826:0,Wait until 2024-11-15; paying earlier would risk the IDR 16588900 minimum.
request_32,36270.71,not_affordable,not_recommended,none,,reduce_to:event_2926:0,Do not make this payment within the forecast. No available plan keeps the ZAR 35700 minimum protected.
request_33,71324.25,not_affordable,not_recommended,none,,reduce_to:event_2960:0,Do not make this payment within the forecast. No available plan keeps the INR 102100 minimum protected.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 on 2024-12-04. The projected balance stays above the INR 138500 minimum.
request_35,131023.45,not_affordable,not_recommended,none,,reduce_to:event_3224:0,Do not make this payment within the forecast. No available plan keeps the INR 106400 minimum protected.
request_36,1602.59,not_affordable,not_recommended,none,,reduce_to:event_3294:0,Do not make this payment within the forecast. No available plan keeps the USD 2400 minimum protected.
request_37,12475400,not_affordable,not_recommended,none,,reduce_to:event_3311:0,Do not make this payment within the forecast. No available plan keeps the IDR 17056200 minimum protected.
request_38,408.02,not_affordable,not_recommended,none,,reduce_to:event_3488:0,Do not make this payment within the forecast. No available plan keeps the EUR 400 minimum protected.
request_39,208600,affordable_now,full_payment,2026-04-04:208600,2026-04-04,reduce_to:event_3497:85,Pay INR 208600 on 2026-04-04. The projected balance stays above the INR 213400 minimum.
request_40,939.06,not_affordable,not_recommended,none,,reduce_to:event_3707:0,Do not make this payment within the forecast. No available plan keeps the EUR 1500 minimum protected.
request_41,23320248.73,not_affordable,not_recommended,none,,reduce_to:event_3809:0,Do not make this payment within the forecast. No available plan keeps the IDR 25366600 minimum protected.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 on 2026-01-05. The projected balance stays above the INR 113100 minimum.
request_43,15232975.98,not_affordable,not_recommended,none,,reduce_to:event_4011:0,Do not make this payment within the forecast. No available plan keeps the IDR 21398000 minimum protected.
request_44,79601.84,not_affordable,not_recommended,none,,reduce_to:event_4104:0,Do not make this payment within the forecast. No available plan keeps the INR 82900 minimum protected.
request_45,9720012.94,not_affordable,not_recommended,none,,reduce_to:event_4188:0,Do not make this payment within the forecast. No available plan keeps the IDR 11149800 minimum protected.
request_46,49450,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,Pay INR 49450 on 2024-12-03. The projected balance stays above the INR 84000 minimum.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 on 2025-05-05. The projected balance stays above the IDR 30049000 minimum.
